timestamp,Time ,Garbage,value
2018-01-04 14:30,2018-01-04 14:30:00 PST,160.4kW,160.4
2018-01-04 14:45,2018-01-04 14:45:00 PST,187.9kW,187.9
2018-01-04 15:00,2018-01-04 15:00:00 PST,188.8kW,188.8
2018-01-04 15:15,2018-01-04 15:15:00 PST,179.7kW,179.7
2018-01-04 15:30,2018-01-04 15:30:00 PST,170.3kW,170.3
2018-01-04 15:45,2018-01-04 15:45:00 PST,157.9kW,157.9
2018-01-04 16:00,2018-01-04 16:00:00 PST,152.7kW,152.7
2018-01-04 16:15,2018-01-04 16:15:00 PST,157.9kW,157.9
2018-01-04 16:30,2018-01-04 16:30:00 PST,158.6kW,158.6
2018-01-04 16:45,2018-01-04 16:45:00 PST,160.5kW,160.5
2018-01-04 17:00,2018-01-04 17:00:00 PST,152.9kW,152.9
2018-01-04 17:15,2018-01-04 17:15:00 PST,132.3kW,132.3
2018-01-04 17:30,2018-01-04 17:30:00 PST,142.5kW,142.5
2018-01-04 17:45,2018-01-04 17:45:00 PST,139.7kW,139.7
2018-01-04 18:00,2018-01-04 18:00:00 PST,148.1kW,148.1
2018-01-04 18:15,2018-01-04 18:15:00 PST,130.4kW,130.4
2018-01-04 18:30,2018-01-04 18:30:00 PST,121.4kW,121.4
2018-01-04 18:45,2018-01-04 18:45:00 PST,120.2kW,120.2
2018-01-04 19:00,2018-01-04 19:00:00 PST,123.8kW,123.8
2018-01-04 19:15,2018-01-04 19:15:00 PST,119.6kW,119.6
2018-01-04 19:30,2018-01-04 19:30:00 PST,124.4kW,124.4
2018-01-04 19:45,2018-01-04 19:45:00 PST,118.8kW,118.8
2018-01-04 20:00,2018-01-04 20:00:00 PST,122.9kW,122.9
2018-01-04 20:15,2018-01-04 20:15:00 PST,115.8kW,115.8
2018-01-04 20:30,2018-01-04 20:30:00 PST,119.3kW,119.3
2018-01-04 20:45,2018-01-04 20:45:00 PST,120.2kW,120.2
2018-01-04 21:00,2018-01-04 21:00:00 PST,107.9kW,107.9
2018-01-04 21:15,2018-01-04 21:15:00 PST,123.0kW,123
2018-01-04 21:30,2018-01-04 21:30:00 PST,116.8kW,116.8
2018-01-04 21:45,2018-01-04 21:45:00 PST,116.3kW,116.3
2018-01-04 22:00,2018-01-04 22:00:00 PST,107.3kW,107.3
